Channel 1 counts,Channel 3 power,Channel 4 flux,rr-active-state,RR position,ss1-active-state,SS1 position,ss2-active-state,SS2 position,reconstruction_error,,SHAP_Channel 1 counts,SHAP_Channel 3 power,SHAP_Channel 4 flux,SHAP_rr-active-state,SHAP_RR position,SHAP_ss1-active-state,SHAP_SS1 position,SHAP_ss2-active-state,SHAP_SS2 position
0.767800037,0.618339079,0.035376414,1,0.334682348,1,0.953668732,1,0.716455113,0.347437542,308,0.001893046,0.002980682,0,0,0,0,0,0,0
0.767800037,0.61870229,0.032197848,1,0.32325934,1,0.952130014,1,0.713554582,0.338123722,309,0.0025804,0.003634377,0,0,0,0,0,0,0
0.767800037,0.618553312,0.029862143,1,0.311247467,1,0.948064309,1,0.710546861,0.328984654,310,0.0033193,0.004299742,0,0,0,0,0,0,0
0.767800037,0.618504063,0.027650622,1,0.300252142,1,0.945683262,1,0.70754714,0.319854073,311,0.004084017,0.004972995,0,0,0,0,0,0,0
0.767509423,0.618492982,0.02581033,1,0.287707259,1,0.941760325,1,0.70452342,0.310712943,312,0.004874741,0.005639089,0,0,0,0,0,0,0
0.768671876,0.618713371,0.024608129,1,0.275898058,1,0.940564249,1,0.701389311,0.308201429,313,0.00567428,0.006292744,0,0,0,0,0,0,0
0.76809065,0.618719527,0.022981855,1,0.263809585,1,0.935177151,1,0.698573572,0.305831192,314,0.006430215,0.006502831,0,0,0,0,0,0,0
0.767800037,0.618691209,0.02207558,1,0.251693982,1,0.935656216,1,0.695513056,0.303624307,315,0.006970177,0.006591409,0,0,0,0,0,0,0
0.767509423,0.618937454,0.020952645,1,0.240374703,1,0.933181577,1,0.692610926,0.301402439,316,0.007350523,0.006641398,0,0,0,0,0,0,0
0.769253103,0.619012558,0.020019949,1,0.229799084,1,0.930673625,1,0.689876779,0.299307463,317,0.007643681,0.006677718,0,0,0,0,0,0,0
0.769253103,0.619035952,0.018891729,1,0.217823915,1,0.92756605,1,0.686763468,0.297224772,318,0.007864179,0.0067068,0,0,0,0,0,0,0
0.76721881,0.61916523,0.017833528,1,0.205845555,1,0.924634555,1,0.683851739,0.295117838,319,0.00802363,0.006731533,0,0,0,0,0,0,0
0.76721881,0.618383403,0.017645932,1,0.193165026,1,0.921274756,1,0.680519248,0.293024715,320,0.008145134,0.006751861,0,0,0,0,0,0,0
0.767509423,0.61846097,0.016713235,1,0.182565469,1,0.918443198,1,0.677924289,0.290954961,321,0.008235664,0.006769292,0,0,0,0,0,0,0
0.769253103,0.618315686,0.016660391,1,0.170215279,1,0.9154657,1,0.674943765,0.288940004,322,0.008306518,0.006786633,0,0,0,0,0,0,0
0.769253103,0.618191332,0.015456869,1,0.159571039,1,0.912742011,1,0.672235217,0.286907782,323,0.008366106,0.00679899,0,0,0,0,0,0,0
0.769253103,0.618027579,0.015278521,1,0.148325168,1,0.909829551,1,0.66939228,0.284933038,324,0.008409976,0.00681136,0,0,0,0,0,0,0
0.769543716,0.618227038,0.014501714,1,0.134714265,1,0.905013523,1,0.666043791,0.282887663,325,0.008447197,0.006822149,0,0,0,0,0,0,0
0.769543716,0.618499138,0.014464723,1,0.122901872,1,0.903479564,1,0.663212054,0.280867051,326,0.008477328,0.00683331,0,0,0,0,0,0,0
0.767509423,0.618372322,0.014057825,1,0.11103522,1,0.899681945,1,0.660180335,0.278772897,327,0.008500528,0.006841414,0,0,0,0,0,0,0
0.767800037,0.618339079,0.013339146,1,0.101144216,1,0.897638782,1,0.657610974,0.276729314,328,0.008517952,0.006851208,0,0,0,0,0,0,0
0.767800037,0.61870229,0.01330744,1,0.088658379,1,0.894669215,1,0.654494463,0.274713607,329,0.008535864,0.006859429,0,0,0,0,0,0,0
