Unnamed: 0.2,Unnamed: 0,index,adj neg air pressure raw,Air pressure,current alarm mode,cont air counts raw,Air monitor counts,makeup wtr cond down raw,Downstream conductivity,makeup wtr cond up raw,Upstream conductivity,makeup wtr temp down,makeup wtr temp down raw,makeup wtr temp up,makeup wtr temp up raw,DAS health index,0-15 channel error,16-31 channel error status,error detection status 2,card temperature 2,error detection status 3,card temperature 3,error detection status 4,card temperature 4,error detection status 5,card temperature 5,FC voltage supply,fiss-active-state,fiss-position,Magnet current,mag-current-raw,Mode,Channel 1 counts,nfd-1cps-raw,Channel 1 change rate,nfd-1-cr-raw,Channel 2 change rate,nfd-2-cr-raw,Channel 2 power,nfd-2-log-raw,Channel 3 power,nfd-3-pwr-raw,nfd-3-pwr-rng,Channel 4 flux,nfd-4-flux-raw,Console monitor,rom-con-lvl-raw,Pool monitor,ram-pool-lvl-raw,Makeup water monitor,ram-wtr-lvl-raw,rcs-scram-rel-q,rcs-scram-st-q,rr-active-state,RR position,rtpbtempa_00,rtpbtempb_00,rtpctempa_00,rtpctempb_00,rtphactcnta_00,rtphactcntb_00,src-active-state,src-position,ss1-active-state,SS1 position,ss2-active-state,SS2 position,ack-button,manual-scram,Unnamed: 0.1,Abnormal
0.999206901,0.337953962,,0.821361178,0.820925553,1,0.079394013,0.001944704,0.49770291,0.49770291,0.25591354,0.25591354,0.479303885,0.479456193,0.495752271,0.495862703,1,,,,0.228571429,,0.2,,0.142857143,,0.222222222,1,,0.026402279,0.999875099,0.999871425,1,0.767800037,0.983684641,0.328597791,0.32858933,0.757713798,0.757712875,0.658904081,0.973674916,0.61770623,0.359813553,0,0.662313642,0.662323508,0.403090623,0.740531097,0.180281343,0.772817612,0.485089463,0.686599794,,,0,0.487953019,0.2,0.2,0.25,0,0.714285714,,0,1,0,0.994254396,0,0.755761865,0,0,0.858715869,0
0.999207893,0.337959963,,0.820480564,0.819919517,1,0.079353506,0.001943559,0.49770291,0.49770291,0.256015498,0.256015498,0.467230648,0.467371601,0.49540902,0.495556237,1,,,,0.2,,0.2,,0.142857143,,0.222222222,1,,0.026128396,0.999876936,0.999871425,1,0.76721881,0.983649095,0.326361834,0.326351593,0.756524471,0.756478815,0.658652884,0.973647749,0.618002955,0.360114274,0,0.662304395,0.662323508,0.350707177,0.702166317,0.250751593,0.816511237,0.482107356,0.684156379,,,0,0.487948231,0.2,0.2,0.25,0,0.285714286,,0,1,0,0.994254396,0,0.755753866,0,0,0.858753069,0
0.999208886,0.337965963,,0.817838722,0.817907445,1,0.079312999,0.001942987,0.496477795,0.496477795,0.25591354,0.25591354,0.472463593,0.472507553,0.497958883,0.498007968,1,,,,0.257142857,,0.2,,0.142857143,,0.222222222,1,,0.026128396,0.999876936,0.999889793,1,0.76721881,0.98361355,0.328773543,0.328768349,0.758297242,0.758329905,0.658337245,0.973620582,0.618119921,0.360264635,0,0.662403477,0.662422591,0.340754322,0.694339623,0.240969667,0.811252102,0.526838966,0.719650206,,,0,0.48795621,0.2,0.2,0.25,0,0.428571429,,0,1,0,0.994262328,0,0.755757066,0,0,0.858790269,0
0.999209879,0.337971964,,0.817964524,0.817907445,1,0.07915097,0.001937263,0.495558959,0.495558959,0.25591354,0.25591354,0.491497976,0.491540785,0.498804752,0.498927367,1,,,,0.2,,0.2,,0.114285714,,0.194444444,1,,0.02607362,0.999878773,0.999871425,1,0.766928197,0.98361355,0.328256051,0.328231293,0.756524471,0.756478815,0.6581426,0.973593415,0.617968481,0.360064154,0,0.662962302,0.66296755,0.342325825,0.695667365,0.241429597,0.811496713,0.504970179,0.702289095,,,0,0.487951423,0.2,0.2,0.25,0,0.285714286,,0,1,0,0.994254396,0,0.755758666,0,0,0.858827468,0
0.999210871,0.337977965,,0.8164549,0.815895372,1,0.079312999,0.001942414,0.495558959,0.495558959,0.25632137,0.25632137,0.49314158,0.49305136,0.496757506,0.496782102,1,,,,0.228571429,,0.228571429,,0.2,,0.194444444,1,,0.026292726,0.999878773,0.999889793,1,0.766928197,0.98361355,0.329730416,0.329752954,0.754056055,0.754010695,0.658326724,0.973620582,0.618297217,0.360465116,0,0.663198779,0.663215259,0.326610791,0.682669462,0.210760118,0.793487234,0.509940358,0.70627572,,,0,0.487946635,0.2,0.2,0.25,0,0.285714286,,0,1,0,0.994251223,0,0.755760265,0,0,0.858864668,0
0.999211864,0.337983966,,0.81771292,0.817907445,1,0.079394013,0.001944704,0.496477795,0.496477795,0.256219413,0.256219413,0.481527585,0.481570997,0.494661224,0.494636837,1,,,,0.2,,0.228571429,,0.114285714,,0.222222222,1,,0.02607362,0.999875099,0.999871425,1,0.767509423,0.983649095,0.327201539,0.327157179,0.756659112,0.756478815,0.65957613,0.973729251,0.618529919,0.360715718,0,0.663246339,0.663264801,0.256155055,0.617749825,0.209918783,0.792967436,0.5,0.698688272,,,0,0.487951423,0.2,0.2,0.25,0,0.285714286,,0,1,0,0.994254396,0,0.755765065,0,0,0.858901867,0
0.999212856,0.337989967,,0.816580702,0.816901408,1,0.079353506,0.001943273,0.496477795,0.496477795,0.256015498,0.256015498,0.467726147,0.467673716,0.494526375,0.494636837,1,,,,0.228571429,,0.2,,0.114285714,,0.194444444,1,,0.02607362,0.999876936,0.999871425,1,0.767800037,0.983684641,0.327875255,0.327873255,0.752328165,0.752159605,0.660175845,0.973783586,0.618783551,0.360966319,0,0.663284651,0.663314342,0.262702986,0.624388539,0.24100332,0.811252102,0.550695825,0.737654321,,,0,0.487953019,0.2,0.2,0.25,0,0.142857143,,0,1,0,0.994246465,0,0.755752266,0,0,0.858939067,0
0.999213849,0.337995967,,0.817209712,0.816901408,1,0.079394013,0.001944418,0.496784074,0.496784074,0.25550571,0.25550571,0.469333494,0.469486405,0.497578856,0.497701502,1,,,,0.228571429,,0.2,,0.114285714,,0.194444444,1,,0.02590929,0.999878773,0.999871425,1,0.767509423,0.983649095,0.330169796,0.330200501,0.755918587,0.755861785,0.660048274,0.973783586,0.618737996,0.360916199,0,0.663275403,0.663314342,0.292299633,0.65290007,0.213070986,0.7949549,0.477137177,0.680169753,,,0,0.487946635,0.2,0.2,0.25,0,0.428571429,,0,1,0,0.994259155,0,0.755757066,0,0,0.858976267,0
0.999214842,0.338001968,,0.824757831,0.824949698,1,0.079394013,0.001945563,0.496784074,0.496784074,0.255097879,0.255097879,0.48885129,0.488821752,0.499736432,0.499846767,1,,,,0.228571429,,0.228571429,,0.142857143,,0.222222222,1,,0.025964067,0.999882446,0.999889793,1,0.769253103,0.983791277,0.334221858,0.334228428,0.754617059,0.754627725,0.659925964,0.973756418,0.618774932,0.360966319,0,0.663250302,0.663264801,0.288370875,0.649266247,0.207540608,0.791469194,0.477137177,0.680555556,,,0,0.487953019,0.2,0.2,0.25,0,0.285714286,,0,1,0,0.9942655,0,0.755760265,0,0,0.859013466,0
0.999215834,0.338007969,,0.826519059,0.825955734,1,0.07943452,0.001946135,0.496784074,0.496784074,0.25591354,0.25591354,0.495655327,0.495770393,0.496843318,0.496782102,1,,,,0.228571429,,0.228571429,,0.142857143,,0.194444444,1,,0.026347502,0.999873262,0.999871425,1,0.769834329,0.983826823,0.329291036,0.329305406,0.752597446,0.752570958,0.660208725,0.973783586,0.618969466,0.3611668,0,0.663350706,0.663363884,0.266631744,0.628301887,0.200630441,0.786974469,0.535785288,0.726723251,,,0,0.487959402,0.2,0.2,0.25,0,0.285714286,,0,1,0,0.99425281,0,0.755761865,0,0,0.859050666,0
